Source;Target;Frequency;Average Time
start;Book Treatment;23693;0
Book Treatment;Payment;5442;1106601.1025358324
Book Treatment;Requested Review by Insurance;4;5270400.0
Book Treatment;Send Invoice;18240;7120778.684210527
Book Treatment;Send request for Review to Vet Board;7;4580228.571428572
Charge Penalty;Inform Owner of Result of Vet Board Review;53;5985101.886792453
Charge Penalty;Payment;4112;10652175.0
Charge Penalty;Receive Result from Vet Board Review;381;4893269.2913385825
Charge Penalty;Requested Review by Insurance;81;6874666.666666667
Charge Penalty;Send for Credit Collection;8125;42014482.56
Charge Penalty;Send request for Review to Vet Board;1408;16480058.522727273
Inform Owner of Result of Vet Board Review;Charge Penalty;12;561900.0
Inform Owner of Result of Vet Board Review;Payment;391;7493938.618925831
Inform Owner of Result of Vet Board Review;Receive Result from Vet Board Review;2;388800.0
Inform Owner of Result of Vet Board Review;Requested Review by Insurance;145;2031293.7931034483
Inform Owner of Result of Vet Board Review;Send for Credit Collection;257;51426574.319066145
Inform Owner of Result of Vet Board Review;Send request for Review to Vet Board;3;55671600.0
Payment;Charge Penalty;1219;2895728.9581624283
Payment;Inform Owner of Result of Vet Board Review;1;2160000.0
Payment;Payment;1368;6617589.47368421
Payment;Provide Additional Information and Reminder;74;664345.9459459459
Payment;Receive Result from Vet Board Review;2;4408200.0
Payment;Requested Review by Insurance;2;9460800.0
Payment;Send Invoice;569;3859237.9613356767
Payment;Send for Credit Collection;322;34483036.02484472
Payment;Send request for Review to Vet Board;6;1814400.0
Provide Additional Information and Reminder;Charge Penalty;12245;5183752.748060433
Provide Additional Information and Reminder;Payment;1217;2236620.5423171734
Provide Additional Information and Reminder;Receive Result from Vet Board Review;7;3331542.8571428573
Provide Additional Information and Reminder;Requested Review by Insurance;296;2600233.7837837837
Provide Additional Information and Reminder;Send request for Review to Vet Board;395;3148468.860759494
Receive Result from Vet Board Review;Charge Penalty;51;1167035.294117647
Receive Result from Vet Board Review;Inform Owner of Result of Vet Board Review;829;2521024.849215923
Receive Result from Vet Board Review;Payment;36;5715500.0
Receive Result from Vet Board Review;Requested Review by Insurance;13;2425569.230769231
Receive Result from Vet Board Review;Send for Credit Collection;1;46738800.0
Receive Result from Vet Board Review;Send request for Review to Vet Board;16;29543850.0
Requested Review by Insurance;Charge Penalty;284;2492670.4225352113
Requested Review by Insurance;Inform Owner of Result of Vet Board Review;9;2823200.0
Requested Review by Insurance;Payment;70;33693891.428571425
Requested Review by Insurance;Receive Result from Vet Board Review;1;43459200.0
Requested Review by Insurance;Send Invoice;4;7450200.0
Requested Review by Insurance;Send for Credit Collection;32;78378412.5
Requested Review by Insurance;Send request for Review to Vet Board;21;25607314.285714287
Send Invoice;Payment;879;3856300.3412969285
Send Invoice;Provide Additional Information and Reminder;14082;1430047.464848743
Send Invoice;Requested Review by Insurance;10;2376360.0
Send Invoice;Send request for Review to Vet Board;139;11062074.820143884
Send for Credit Collection;Send request for Review to Vet Board;16;71174475.0
Send request for Review to Vet Board;Charge Penalty;349;1946950.1432664758
Send request for Review to Vet Board;Inform Owner of Result of Vet Board Review;4;11210400.0
Send request for Review to Vet Board;Payment;20;11530620.0
Send request for Review to Vet Board;Provide Additional Information and Reminder;4;820800.0
Send request for Review to Vet Board;Receive Result from Vet Board Review;606;4584433.663366336
Send request for Review to Vet Board;Requested Review by Insurance;4;1791900.0
Send request for Review to Vet Board;Send Invoice;7;3222000.0
Send request for Review to Vet Board;Send for Credit Collection;3;7945200.0
Send request for Review to Vet Board;end;1014;0
Payment;end;9972;0
Send for Credit Collection;end;8724;0
Requested Review by Insurance;end;134;0
Send Invoice;end;3710;0
Inform Owner of Result of Vet Board Review;end;86;0
Receive Result from Vet Board Review;end;53;0
